"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"601","CZ25615203",1,0,0,0
"602","CZ49777513",4,0,0.001,0.05
"603","CZ00292427",3,0,0.001,0.05
"604","CZ00299634",1,0,0.001,0.05
"605","CZ64087883",1,0,0.001,0.05
"606","CZ60460709",3,0,0.001,0.05
"607","CZ26416247",1,0,0,0
"608","CZ68407700",8,0,0.001,0.05
"609","CZ26807947",6,0,0.001,0.05
"610","CZ28627156",3,0,0,0
"611","CZ25556568",3,0,0,0
"612","CZ26863154",6,0,0.002,0.1
"613","CZ62582844",1,0,0,0
"614","CZ27119432",1,0,0,0
"615","CZ27756971",2,0,0,0
"616","CZ00248801",2,0,0.001,0.05
"617","CZ25183052",4,0,0.001,0.05
"618","CZ00005886",8,0,0.001,0.05
"619","CZ44264321",1,0,0,0
"620","CZ48029483",2,0,0,0
"621","CZ45274517",3,0,0.001,0.05
"622","CZ71183299",1,0,0,0
"623","CZ00271632",2,0,0.001,0.05
"624","CZ70884099",3,0,0.001,0.05
"625","CZ25309536",2,0,0,0
"626","CZ00253464",1,0,0.001,0.05
"627","CZ25200631",1,0,0.001,0.05
"628","CZ45333009",1,0,0,0
"629","CZ26015889",4,0,0.001,0.05
"630","CZ47543442",1,0,0,0
"631","CZ00287351",2,0,0.001,0.05
"632","CZ00219169",1,0,0,0
"633","CZ00277819",3,0,0.001,0.05
"634","CZ46904395",1,0,0,0
"635","CZ00249998",6,0,0.001,0.05
"636","CZ00239437",1,0,0,0
"637","CZ00296139",1,0,0.001,0.05
"638","CZ73168238",1,0,0.001,0.05
"639","CZ00283070",2,0,0.001,0.05
"640","CZ25878778",7,0,0.001,0.05
"641","CZ00063894",5,0,0.001,0.05
"642","CZ45671745",3,0,0.001,0.05
"643","CZ00290904",1,0,0,0
"644","CZ75151481",6,0,0.001,0.05
"645","CZ26211726",3,0,0.001,0.05
"646","CZ00262871",1,0,0,0
"647","CZ00284891",5,0,0.001,0.05
"648","CZ25904612",1,0,0,0
"649","CZ00234516",6,0,0.001,0.05
"650","CZ25145959",1,0,0,0
"651","CZ00296562",1,0,0,0
"652","CZ26792770",2,0,0.001,0.05
"653","CZ62690094",1,0,0,0
"654","CZ00251810",6,0,0.001,0.05
"655","CZ62509641",1,0,0,0
"656","CZ00260177",1,0,0,0
"657","CZ00260428",4,0,0.001,0.05
"658","CZ00284301",2,0,0.001,0.05
